"Trait","OTU","r","P","Significance"
"Root_biomass","ASV221",-0.229515738503921,0.116590594350319,""
"Root_biomass","ASV214",-0.176318521644297,0.23060980010397,""
"Root_biomass","ASV16",0.20807948955804,0.155839502538753,""
"Root_biomass","ASV1383",0.203888666888279,0.164529667074626,""
"Root_biomass","ASV818",0.168558063919713,0.252110310925439,""
"Root_biomass","ASV18",0.290195332417353,0.0454117429939312,"*"
"Root_biomass","ASV2239",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1360",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2240",0.212290543861009,0.147451458722745,""
"Root_biomass","ASV924",-0.00627631105273039,0.966229469569409,""
"Root_biomass","ASV1363",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV94",0.233658688961727,0.109959226321276,""
"Root_biomass","ASV79",0.220606381881322,0.131874791576942,""
"Root_biomass","ASV2241",-0.149568337720257,0.310274338943961,""
"Root_biomass","ASV1371",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1361",0.203067525504542,0.166272947922242,""
"Root_biomass","ASV76",0.21647440955321,0.139452785929564,""
"Root_biomass","ASV2242",0.212290543861009,0.147451458722745,""
"Root_biomass","ASV927",0.196419167235041,0.180884244649245,""
"Root_biomass","ASV656",-0.277545863869722,0.0561438030052144,""
"Root_biomass","ASV391",-0.172469569378711,0.241110341955531,""
"Root_biomass","ASV2243",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2244",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2102",-0.155882612714329,0.290054237463847,""
"Root_biomass","ASV2245",0.212290543861009,0.147451458722745,""
"Root_biomass","ASV212",0.23876859691635,0.102181654944025,""
"Root_biomass","ASV640",-0.309759682587727,0.0321521291096669,"*"
"Root_biomass","ASV2246",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2248",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1381",0.091050088214328,0.538247037083721,""
"Root_biomass","ASV128",0.196369168143811,0.180997511560935,""
"Root_biomass","ASV316",-0.152367563247281,0.301202035739472,""
"Root_biomass","ASV1392",0.263961723630529,0.0698507910816974,""
"Root_biomass","ASV651",0.213716267324156,0.144688572102587,""
"Root_biomass","ASV2250",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1395",0.121649640594239,0.41013130575653,""
"Root_biomass","ASV915",-0.138340991636773,0.348393848027275,""
"Root_biomass","ASV820",0.261653865151325,0.072423397971314,""
"Root_biomass","ASV893",-0.233012137064167,0.110974698581896,""
"Root_biomass","ASV1375",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1387",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1415",0.091964443111524,0.534156962809597,""
"Root_biomass","ASV819",0.139934554642336,0.342814985392438,""
"Root_biomass","ASV2253",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1377",0.114942033537164,0.436607953303057,""
"Root_biomass","ASV1389",-0.312510580159212,0.0305757907328948,"*"
"Root_biomass","ASV1384",0.0164063931738204,0.911871712549304,""
"Root_biomass","ASV625",0.404809209646375,0.00431790857689926,"**"
"Root_biomass","ASV1709",0.173870811843029,0.237250497276194,""
"Root_biomass","ASV1373",0.113611847575021,0.441969309654369,""
"Root_biomass","ASV675",0.0309824000685281,0.834413661210282,""
"Root_biomass","ASV1409",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2256",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2257",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1428",-0.269505672379025,0.0639668055227967,""
"Root_biomass","ASV1370",-0.178517048246758,0.224755027976918,""
"Root_biomass","ASV2259",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1359",0.290925804895137,0.0448470325914588,"*"
"Root_biomass","ASV1621",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2260",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1637",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2261",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2262",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV605",0.158313650072087,0.282503499528644,""
"Root_biomass","ASV2263",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1628",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1681",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1418",0.143258155843525,0.331358344650878,""
"Root_biomass","ASV1646",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1378",0.0978147501969373,0.50835207257961,""
"Root_biomass","ASV1630",0.00551923505170842,0.970301073684519,""
"Root_biomass","ASV891",0.109529295218942,0.458649606800363,""
"Root_biomass","ASV1639",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1683",-0.0627222061407528,0.671919587805058,""
"Root_biomass","ASV1648",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2268",0.119746445869591,0.41754828997059,""
"Root_biomass","ASV1416",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2269",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1401",0.0809221350530997,0.584540478609437,""
"Root_biomass","ASV824",0.23514520533783,0.10765144606956,""
"Root_biomass","ASV1854",0.141128795176975,0.338670510749312,""
"Root_biomass","ASV1425",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV873",-0.234140712295531,0.109206793018642,""
"Root_biomass","ASV1443",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1417",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV2272",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV1376",0.21229054386101,0.147451458722745,""
"Root_biomass","ASV974",-0.0485197607784504,0.743299738235888,""
